issueId,title,description,status,priority,resolution,reportedByUserId,assignedTeamId,sourceConversationId,createdAt,updatedAt
2210,VPN client disconnects every few minutes on office wifi,Since Monday the VPN client drops every few minutes whenever I am on the office wifi and I have to reconnect each time. A wired connection stays up all day.,resolved,normal,Disabled the wifi adapter's power-saving mode and switched the VPN client profile to keep-alive. Reconnect loops stopped after the change.,u-1003,network,,2026-06-29T16:28:50.396Z,2026-08-18T10:44:08.210Z
4127,Build server SSO login loops back to the sign-in page,Signing in to the build server with company SSO redirects back to the sign-in page without an error. Incognito mode behaves the same way.,open,high,,u-demo,platform,,2026-06-10T21:45:09.388Z,2026-07-19T22:23:31.414Z
4287,Laptop fan runs at full speed while idle,My laptop fan stays at maximum speed even with nothing open. CPU usage in Activity Monitor sits under five percent.,in_progress,normal,,u-demo,endpoint,,2026-08-19T00:39:14.710Z,2026-08-21T08:11:47.732Z
3837,Jenkins pipeline stuck in queued state for over an hour,The nightly integration pipeline sits in the queue and never starts. Other jobs on the same controller run normally.,in_progress,high,,u-demo,platform,,2026-06-29T18:38:37.064Z,2026-07-25T21:06:08.271Z
1653,External monitor flickers at 144 Hz refresh rate,The external monitor flickers every couple of seconds when set to 144 Hz. Dropping to 60 Hz removes the flicker but is noticeably worse.,open,low,,u-1008,network,,2026-08-12T08:54:22.748Z,2026-08-29T18:42:33.656Z
2305,Kubernetes pod in CrashLoopBackOff on staging,The orders service pod restarts every thirty seconds on the staging cluster with exit code 137. Production is unaffected.,open,low,,u-1010,network,,2026-08-19T03:16:16.131Z,2026-08-23T21:24:41.082Z
1038,Staging database connection pool exhausted,Requests against staging fail with 'too many connections'. The pool appears to leak connections after long-running reports.,open,low,,u-1009,endpoint,,2026-06-13T02:12:14.589Z,2026-06-29T19:00:06.803Z
3415,Email attachments over 25 MB are rejected,"Sending a design file larger than 25 MB bounces with a size error, but the policy was supposed to allow 50 MB internally.",open,normal,,u-1006,triage,,2026-08-26T07:04:00.326Z,2026-08-30T08:03:58.152Z
2165,Git push rejected by pre-receive hook,Pushing to the main repository fails with 'pre-receive hook declined' even though the commit passes the local lint check.,resolved,normal,Hook was enforcing signed commits; the reporter's GPG key was added to the allowed signers list.,u-1004,network,,2026-08-28T18:41:54.636Z,2026-08-31T23:29:56.776Z
3289,Conference room A camera not detected by Zoom,Zoom lists no camera in conference room A. The camera light comes on but the device is missing from the video source list.,in_progress,normal,,u-1012,triage,,2026-08-15T10:32:12.698Z,2026-08-20T06:47:46.689Z
